index,mosque_name,district,google_maps_url,google_maps_score,latitude,longitude
74,MİHRİMAH SULTAN CAMİİ,FATİH,https://www.google.com/maps/search/M%C4%B0HR%C4%B0MAH%20SULTAN%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,40.9634874,29.0741911
75,MİHRİNAZ HATUN CAMİİ,FATİH,https://www.google.com/maps/search/M%C4%B0HR%C4%B0NAZ%20HATUN%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0125472,29.0936153
76,MİMAR MEHMETAĞA CAMİİ,FATİH,https://www.google.com/maps/search/M%C4%B0MAR%20MEHMETA%C4%9EA%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0154517,28.9584743
77,MURATPAŞA CAMİİ,FATİH,https://www.google.com/maps/search/MURATPA%C5%9EA%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0103225,28.9489466
78,MUSTAFA MUSLİHİDDİN YARHİSAR CAMİİ,FATİH,https://www.google.com/maps/search/MUSTAFA%20MUSL%C4%B0H%C4%B0DD%C4%B0N%20YARH%C4%B0SAR%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0223611,28.9525155
79,SANKİYEDİM CAMİİ,FATİH,https://www.google.com/maps/search/SANK%C4%B0YED%C4%B0M%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0187772,28.9532546
80,SOĞANAĞA CAMİİ,FATİH,https://www.google.com/maps/search/SO%C4%9EANA%C4%9EA%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0078815,28.962738
81,SOKULLU MEHMET PAŞA CAMİİ,FATİH,https://www.google.com/maps/search/SOKULLU%20MEHMET%20PA%C5%9EA%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0221162,28.57615
82,SULTANAHMET CAMİİ,FATİH,https://www.google.com/maps/search/SULTANAHMET%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,4.9,41.005402,28.977243
83,ŞEHZADEBAŞI CAMİİ,FATİH,https://www.google.com/maps/search/%C5%9EEHZADEBA%C5%9EI%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0138822,28.9570828
84,ŞEVKET ÇUKURBOSTAN CAMİİ,FATİH,https://www.google.com/maps/search/%C5%9EEVKET%20%C3%87UKURBOSTAN%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0260495,28.9502818
85,TAHİRAĞA CAMİİ,FATİH,https://www.google.com/maps/search/TAH%C4%B0RA%C4%9EA%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0238638,28.9554439
86,YAVUZ SULTAN SELİM CAMİİ,FATİH,https://www.google.com/maps/search/YAVUZ%20SULTAN%20SEL%C4%B0M%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,40.965154,29.250444
87,YUSUF ŞUCAATTİN CAMİİ,FATİH,https://www.google.com/maps/search/YUSUF%20%C5%9EUCAATT%C4%B0N%20CAM%C4%B0%C4%B0%20FAT%C4%B0H%20%C4%B0stanbul,,41.0345504,28.9468166
88,PROFESÖR MAHMUT ESAT COŞAN CAMİİ,GAZİOSMANPAŞA,https://www.google.com/maps/search/PROFES%C3%96R%20MAHMUT%20ESAT%20CO%C5%9EAN%20CAM%C4%B0%C4%B0%20GAZ%C4%B0OSMANPA%C5%9EA%20%C4%B0stanbul,,41.0664563,28.9057969
89,HACI VEYS CAMİİ,GAZİOSMANPAŞA,https://www.google.com/maps/search/HACI%20VEYS%20CAM%C4%B0%C4%B0%20GAZ%C4%B0OSMANPA%C5%9EA%20%C4%B0stanbul,,41.0711085,28.9076642
90,KÜÇÜKKÖY MERKEZ CAMİİ,GAZİOSMANPAŞA,https://www.google.com/maps/search/K%C3%9C%C3%87%C3%9CKK%C3%96Y%20MERKEZ%20CAM%C4%B0%C4%B0%20GAZ%C4%B0OSMANPA%C5%9EA%20%C4%B0stanbul,,41.0741096,28.9025107
91,KÜÇÜKKÖY TATBİKAT CAMİİ,GAZİOSMANPAŞA,https://www.google.com/maps/search/K%C3%9C%C3%87%C3%9CKK%C3%96Y%20TATB%C4%B0KAT%20CAM%C4%B0%C4%B0%20GAZ%C4%B0OSMANPA%C5%9EA%20%C4%B0stanbul,,41.0841649,28.9092368
92,GENÇ OSMAN CAMİİ,GÜNGÖREN,https://www.google.com/maps/search/GEN%C3%87%20OSMAN%20CAM%C4%B0%C4%B0%20G%C3%9CNG%C3%96REN%20%C4%B0stanbul,,41.026788,28.8740658
93,M.Ü. SALİHA KULAKSIZOĞLU CAMİİ,KADIKÖY,https://www.google.com/maps/search/M.%C3%9C.%20SAL%C4%B0HA%20KULAKSIZO%C4%9ELU%20CAM%C4%B0%C4%B0%20KADIK%C3%96Y%20%C4%B0stanbul,,40.989565,29.0542109
94,TATARAĞASI CAMİİ,KADIKÖY,https://www.google.com/maps/search/TATARA%C4%9EASI%20CAM%C4%B0%C4%B0%20KADIK%C3%96Y%20%C4%B0stanbul,,40.9608422,29.1031012
95,B. KETHÜDA CAMİİ,KADIKÖY,https://www.google.com/maps/search/B.%20KETH%C3%9CDA%20CAM%C4%B0%C4%B0%20KADIK%C3%96Y%20%C4%B0stanbul,,40.8728366,29.3313786
96,SADABAD CAMİİ,KAĞITHANE,https://www.google.com/maps/search/SADABAD%20CAM%C4%B0%C4%B0%20KA%C4%9EITHANE%20%C4%B0stanbul,,41.0699879,28.9628826
97,SULTAN SELİM MEYDAN CAMİİ,KAĞITHANE,https://www.google.com/maps/search/SULTAN%20SEL%C4%B0M%20MEYDAN%20CAM%C4%B0%C4%B0%20KA%C4%9EITHANE%20%C4%B0stanbul,,41.0149778,28.9420736
98,MAARİFİ CAMİİ,KARTAL,https://www.google.com/maps/search/MAAR%C4%B0F%C4%B0%20CAM%C4%B0%C4%B0%20KARTAL%20%C4%B0stanbul,,40.8883277,29.1906448
99,HASAN TAHSİN UĞUR CAMİİ,KARTAL,https://www.google.com/maps/search/HASAN%20TAHS%C4%B0N%20U%C4%9EUR%20CAM%C4%B0%C4%B0%20KARTAL%20%C4%B0stanbul,,40.9041134,29.1820665
100,SOĞANLIK GÜMÜŞPINAR CAMİİ,KARTAL,https://www.google.com/maps/search/SO%C4%9EANLIK%20G%C3%9CM%C3%9C%C5%9EPINAR%20CAM%C4%B0%C4%B0%20KARTAL%20%C4%B0stanbul,,40.8343552,29.3616521
101,SEFAKÖY GÜLTEPE CAMİİ,KÜÇÜKÇEKMECE,https://www.google.com/maps/search/SEFAK%C3%96Y%20G%C3%9CLTEPE%20CAM%C4%B0%C4%B0%20K%C3%9C%C3%87%C3%9CK%C3%87EKMECE%20%C4%B0stanbul,,40.9952789,28.7923067
102,HAYATİ ÜSTÜN CAMİİ,KÜÇÜKÇEKMECE,https://www.google.com/maps/search/HAYAT%C4%B0%20%C3%9CST%C3%9CN%20CAM%C4%B0%C4%B0%20K%C3%9C%C3%87%C3%9CK%C3%87EKMECE%20%C4%B0stanbul,,40.9333755,29.3131888
103,HAFIZ İHSAN HACI ŞÜKRAN ÖZKUR (İZÜ) CAMİİ,KÜÇÜKÇEKMECE,https://www.google.com/maps/search/HAFIZ%20%C4%B0HSAN%20HACI%20%C5%9E%C3%9CKRAN%20%C3%96ZKUR%20%28%C4%B0Z%C3%9C%29%20CAM%C4%B0%C4%B0%20K%C3%9C%C3%87%C3%9CK%C3%87EKMECE%20%C4%B0stanbul,,40.9881891,29.2701652
104,HÜSNİYE ARAT-MEHMET MACİT CAMİİ,MALTEPE,https://www.google.com/maps/search/H%C3%9CSN%C4%B0YE%20ARAT-MEHMET%20MAC%C4%B0T%20CAM%C4%B0%C4%B0%20MALTEPE%20%C4%B0stanbul,,40.9323378,29.1360873
105,ZÜMRÜT CAMİİ,MALTEPE,https://www.google.com/maps/search/Z%C3%9CMR%C3%9CT%20CAM%C4%B0%C4%B0%20MALTEPE%20%C4%B0stanbul,,40.9377387,29.14041
